Test run for 90 minutes of runtime, approximately one full orbit for most LEO sats.

CPU

	11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz

	Base speed:	3.00 GHz
	Sockets:	1
	Cores:	2
	Logical processors:	4
	Virtualization:	Enabled
	L1 cache:	160 KB
	L2 cache:	2.5 MB
	L3 cache:	6.0 MB

Total sats: 16978
TIME 0.0
TIME 0.1
...
TIME 5399.800000002113
TIME 5399.900000002113

         961071828 function calls (960701551 primitive calls) in 3883.942 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2913.363 2913.363 3883.947 3883.947 satEvol.py:1(<module>)
     1097    0.019    0.000    0.057    0.000 numpy_support.py:380(ufunc_find_matching_loop)
22485/18312    0.019    0.000    0.020    0.000 {built-in method _abc._abc_subclasscheck}
 1022/753    0.018    0.000    2.194    0.003 functions.py:281(get_call_type)
    15028    0.018    0.000    0.021    0.000 contextlib.py:102(__init__)
    17390    0.018    0.000    0.018    0.000 {method 'sgp4' of 'sgp4.vallado_cpp.Satrec' objects}
    19400    0.018    0.000    0.124    0.000 event.py:404(end_event)
59995/59606    0.018    0.000    0.047    0.000 {method 'join' of 'str' objects}
    54221    0.018    0.000    0.018    0.000 fromnumeric.py:3220(_min_dispatcher)
44338/43503    0.018    0.000    0.023    0.000 abstract.py:124(__eq__)
    83901    0.018    0.000    0.053    0.000 abc.py:117(__instancecheck__)
     6516    0.017    0.000    0.017    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
     1024    0.017    0.000    0.021    0.000 backend_pdf.py:1184(get_char_width)
    19400    0.017    0.000    0.099    0.000 event.py:390(start_event)
    43908    0.017    0.000    0.536    0.000 prepared.py:51(disjoint)
    84032    0.016    0.000    0.016    0.000 event.py:138(is_start)
     1090    0.016    0.000    0.017    0.000 {built-in method matplotlib._path.convert_to_string}
    12344    0.016    0.000    0.017    0.000 numpy_support.py:362(ufunc_can_cast)
    10981    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
     3138    0.016    0.000    0.046    0.000 utils.py:306(order_by_target_specificity)
     1544    0.016    0.000    0.026    0.000 interpreter.py:1839(store)
      526    0.016    0.000    0.016    0.000 {built-in method builtins.dir}
      159    0.016    0.000    0.016    0.000 {built-in method matplotlib._path.cleanup_path}
        6    0.016    0.003    0.016    0.003 {built-in method matplotlib._path.points_in_path}
       30    0.016    0.001    0.141    0.005 crs.py:185(__init__)
   114903    0.015    0.000    0.015    0.000 decorators.py:66(<listcomp>)
     1418    0.015    0.000    0.029    0.000 byteflow.py:324(dispatch)
      132    0.015    0.000    0.015    0.000 {built-in method posix.listdir}
        4    0.015    0.004    0.020    0.005 backend_pdf.py:614(_get_pdf_charprocs)
      546    0.015    0.000    1.892    0.003 trace.pyx:538(project_linear)
    50180    0.015    0.000    0.022    0.000 ir.py:1293(find_insts)
     5725    0.014    0.000    0.043    0.000 ssa.py:206(_run_ssa_block_pass)
    42016    0.014    0.000    0.018    0.000 event.py:265(on_start)
    19209    0.014    0.000    0.114    0.000 values.py:537(__init__)
   186656    0.014    0.000    0.016    0.000 {method 'extend' of 'list' objects}
    39152    0.014    0.000    0.020    0.000 event.py:66(_guard_kind)
   114903    0.014    0.000    0.014    0.000 decorators.py:73(<listcomp>)
      523    0.013    0.000    0.014    0.000 posixpath.py:338(normpath)
      243    0.013    0.000    0.039    0.000 artist.py:1511(get_setters)
     1480    0.013    0.000    0.037    0.000 inspect.py:2280(_signature_from_function)
    20026    0.013    0.000    0.099    0.000 values.py:557(_set_name)
     1682    0.013    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
 2962/421    0.013    0.000    0.031    0.000 sre_compile.py:87(_compile)
     2234    0.013    0.000    0.013    0.000 {method 'copy' of 'numpy.ndarray' objects}
    10610    0.012    0.000    0.012    0.000 postproc.py:191(<genexpr>)
      113    0.012    0.000    0.057    0.001 postproc.py:179(_patch_var_dels)
4761/2556    0.012    0.000    0.101    0.000 context.py:407(install_registry)
        1    0.012    0.012    0.013    0.013 network.py:17(set_ca_bundle_path)
    20026    0.012    0.000    0.086    0.000 _utils.py:16(register)
     4700    0.012    0.000    0.136    0.000 artist.py:1461(get_valid_values)
     3258    0.012    0.000    0.114    0.000 errors.py:319(_markup)
     1860    0.012    0.000    0.012    0.000 predicates.py:747(intersects)
   1194/1    0.012    0.000 3883.947 3883.947 {built-in method builtins.exec}
      140    0.012    0.000    0.020    0.000 compiler_machinery.py:245(finalize)
71682/62899    0.011    0.000    0.018    0.000 {built-in method builtins.hash}
    75605    0.011    0.000    0.012    0.000 {built-in method builtins.min}
     2678    0.011    0.000    0.052    0.000 targetconfig.py:200(<dictcomp>)
     4998    0.011    0.000    0.042    0.000 context.py:565(_rate_arguments)
      243    0.011    0.000    0.064    0.000 artist.py:1433(get_aliases)
     7970    0.011    0.000    0.019    0.000 os.py:675(__getitem__)
      243    0.011    0.000    0.021    0.000 artist.py:1444(<listcomp>)
    16895    0.011    0.000    0.106    0.000 ffi.py:77(__enter__)
    10412    0.011    0.000    0.122    0.000 re.py:288(_compile)
     9733    0.011    0.000    0.019    0.000 inspect.py:2637(__init__)
        2    0.011    0.005    0.011    0.005 core.py:3407(__setitem__)
    38279    0.011    0.000    0.054    0.000 templates.py:1322(new_registrations)
16888/16887    0.011    0.000    0.038    0.000 {built-in method builtins.sorted}
2370/1932    0.011    0.000    1.117    0.001 lowering.py:455(lower_inst)
    16895    0.011    0.000    0.128    0.000 ffi.py:83(__exit__)
      560    0.010    0.000    0.015    0.000 coords.py:57(xy)
    31495    0.010    0.000    0.249    0.000 ir.py:354(list_vars)
       32    0.010    0.000    0.010    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      341    0.010    0.000    0.020    0.000 analysis.py:118(compute_dead_maps)
      622    0.010    0.000    0.056    0.000 context.py:615(resolve_overload)
      873    0.010    0.000    0.012    0.000 sre_compile.py:292(_optimize_charset)
      212    0.010    0.000    0.010    0.000 {built-in method io.open}
        1    0.010    0.010    1.046    1.046 geoaxes.py:1223(imshow)
15024/13674    0.010    0.000    0.042    0.000 contextlib.py:139(__exit__)
      248    0.009    0.000    0.010    0.000 genericpath.py:69(commonprefix)
    90901    0.009    0.000    0.009    0.000 {method 'rstrip' of 'str' objects}
    10003    0.009    0.000    0.028    0.000 weakref.py:415(__getitem__)
       15    0.009    0.001    0.009    0.001 backend_agg.py:93(draw_path)
