Total sats: 16978
Beginning main integration...
         7556259851 function calls (7555909580 primitive calls) in 23177.904 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 17401.012 17401.012 23177.908 23177.908 satEvol.py:1(<module>)
7334496000 2165.976    0.000 2165.976    0.000 KeplerTools.py:120(getXYZVVV)
   432000 1904.407    0.004 1904.407    0.004 _kdtree.py:608(query_pairs)
   432000 1217.588    0.003 1591.286    0.004 _kdtree.py:353(__init__)
    18505    0.014    0.000    0.099    0.000 event.py:404(end_event)
      990    0.014    0.000    0.043    0.000 numpy_support.py:380(ufunc_find_matching_loop)
   114903    0.013    0.000    0.013    0.000 decorators.py:66(<listcomp>)
        6    0.013    0.002    0.013    0.002 {built-in method matplotlib._path.points_in_path}
56917/56551    0.013    0.000    0.036    0.000 {method 'join' of 'str' objects}
    18505    0.013    0.000    0.078    0.000 event.py:390(start_event)
    77972    0.013    0.000    0.035    0.000 abc.py:117(__instancecheck__)
  920/651    0.013    0.000    1.513    0.002 functions.py:281(get_call_type)
      521    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
    17501    0.013    0.000    0.022    0.000 _utils.py:24(deduplicate)
    17474    0.012    0.000    0.056    0.000 values.py:537(__init__)
    14322    0.012    0.000    0.014    0.000 contextlib.py:102(__init__)
41895/41080    0.012    0.000    0.016    0.000 abstract.py:124(__eq__)
    11005    0.012    0.000    0.013    0.000 numpy_support.py:362(ufunc_can_cast)
      546    0.012    0.000    1.656    0.003 trace.pyx:538(project_linear)
    40401    0.012    0.000    0.015    0.000 event.py:265(on_start)
   1159/1    0.012    0.000 23177.908 23177.908 {built-in method builtins.exec}
     2920    0.011    0.000    0.034    0.000 utils.py:306(order_by_target_specificity)
    18247    0.011    0.000    0.043    0.000 values.py:557(_set_name)
      243    0.011    0.000    0.033    0.000 artist.py:1511(get_setters)
     1441    0.011    0.000    0.030    0.000 inspect.py:2280(_signature_from_function)
     1033    0.011    0.000    0.011    0.000 {built-in method io.open_code}
   177675    0.011    0.000    0.012    0.000 {method 'extend' of 'list' objects}
    45049    0.011    0.000    0.016    0.000 ir.py:1293(find_insts)
     1860    0.011    0.000    0.011    0.000 predicates.py:747(intersects)
   114903    0.011    0.000    0.011    0.000 decorators.py:73(<listcomp>)
    37378    0.010    0.000    0.016    0.000 event.py:66(_guard_kind)
 2748/381    0.010    0.000    0.024    0.000 sre_compile.py:87(_compile)
        1    0.010    0.010    0.816    0.816 geoaxes.py:1223(imshow)
4383/2178    0.010    0.000    0.067    0.000 context.py:407(install_registry)
    52171    0.010    0.000    0.011    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
     4700    0.009    0.000    0.107    0.000 artist.py:1461(get_valid_values)
      110    0.009    0.000    0.035    0.000 postproc.py:179(_patch_var_dels)
     1635    0.009    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    31269    0.009    0.000    0.019    0.000 utils.py:475(stream_list)
21301/17324    0.009    0.000    0.010    0.000 {built-in method _abc._abc_subclasscheck}
        4    0.009    0.002    0.013    0.003 backend_pdf.py:614(_get_pdf_charprocs)
      243    0.009    0.000    0.017    0.000 artist.py:1444(<listcomp>)
      560    0.009    0.000    0.014    0.000 coords.py:57(xy)
    16092    0.009    0.000    0.084    0.000 ffi.py:77(__enter__)
    74886    0.009    0.000    0.009    0.000 {built-in method builtins.min}
     2655    0.009    0.000    0.041    0.000 targetconfig.py:200(<dictcomp>)
69509/60968    0.009    0.000    0.014    0.000 {built-in method builtins.hash}
      104    0.009    0.000    0.017    0.000 enum.py:180(__new__)
        2    0.009    0.004    0.009    0.004 core.py:3407(__setitem__)
    97/60    0.009    0.000    0.084    0.001 {built-in method _imp.exec_dynamic}
     9579    0.009    0.000    0.016    0.000 inspect.py:2637(__init__)
      243    0.008    0.000    0.050    0.000 artist.py:1433(get_aliases)
     4426    0.008    0.000    0.030    0.000 context.py:565(_rate_arguments)
       24    0.008    0.000    0.009    0.000 numeric.py:65(zeros_like)
    18247    0.008    0.000    0.032    0.000 _utils.py:16(register)
2244/1806    0.008    0.000    0.766    0.000 lowering.py:455(lower_inst)
    16092    0.008    0.000    0.102    0.000 ffi.py:83(__exit__)
    35505    0.008    0.000    0.031    0.000 templates.py:1322(new_registrations)
      832    0.008    0.000    0.009    0.000 sre_compile.py:292(_optimize_charset)
14318/13061    0.008    0.000    0.078    0.000 contextlib.py:139(__exit__)
    16350    0.008    0.000    0.019    0.000 {built-in method builtins.sorted}
      573    0.007    0.000    0.041    0.000 context.py:615(resolve_overload)
     9262    0.007    0.000    0.021    0.000 weakref.py:415(__getitem__)
